formula,d,bpv,bg,na,ne,qf
GdAlO3,7.24,0.5254,3.2382,5,3,0
Sm2Si2O7,5.55,0.5769,4.7975,11,3,0
BaTi(BO3)2,4.02,0.36,2.3888,30,4,0
BaGd2ZnO5,7.49,0.5434,2.8138,44,4,0
BaY2CuO5,5.99,0.5661,0,36,4,0
Ba3CaSb2O9,5.76,0.4791,3.1626,60,4,0
DyAlO3,7.55,0.5359,5.723,5,3,0
Ba3SrSb2O9,5.77,0.6507,3.1353,30,4,0
Nb2Co4O9,5.56,0.6576,0.0178,30,3,0
BaHo2ZnO5,8.02,0.7414,3.0589,36,4,0
BaEr2ZnO5,8.17,0.7491,3.3171,36,4,0
BaYb2CuO5,8.6,0.7926,0.0021,36,4,0
Li2Mo4O13,3.77,0.5659,2.3935,57,3,0
BaTm2ZnO5,8.32,0.7667,3.3223,36,4,0
ZrSiO4,4.48,0.2943,4.4539,12,3,0
BaHo2CuO5,8.1,0.5751,0,36,4,0
Ce2(WO4)3,6.51,0.1761,0.079,68,3,0
NaAlSi3O8,2.5,0.4026,4.9743,26,4,0
Ba2P2O7,3.96,0.255,5.1483,66,3,0
BaEr2CuO5,8.23,0.5802,0,36,4,0
LiInSiO4,4.42,0.3607,3.0287,28,4,0
Li2ZnSiO4,3.26,0.3212,3.7837,32,4,0
CaTe2O5,4.33,0.3199,3.3702,32,3,0
Li2SnO3,4.82,1.365,3.1255,48,3,0
SrSiO3,3.53,0.8054,4.6095,20,3,0
Ca2ZnSi2O7,3.29,0.2846,4.0607,24,4,0
Ca2P2O7,2.81,0.2467,5.5021,44,3,0
BaTm2CuO5,8.4,0.6461,0,36,4,0
Pb2WO5,7.48,0.1262,3.0671,32,3,0
Ca2V2O7,3.21,0.2566,3.0398,22,3,0
Li2Zn2W2O9,6.4,0.622,2.7621,30,4,0
Ag2MoO4,5.89,0.283,1.8721,56,3,0
NdBO3,5.61,0.3497,4.706,20,3,0
Ba2SiO4,5.24,0.4387,4.6289,28,3,0
CaLa4Si3O13,5,0.2984,4.4833,42,4,0
Ba2V2O7,4.23,0.4171,3.4599,44,3,0
Sr2SiO4,4.38,0.375,4.4698,28,3,0
Sr2V2O7,3.83,0.51,3.3868,88,3,0
TbPO4,5.67,0.2688,5.8816,24,3,0
BaY2ZnO5,5.93,0.7366,3.099,36,4,0
SrMgV2O7,3.66,0.5547,2.8019,88,4,0
Sr3Sn2O7,5.75,0.4976,2.1617,48,3,0
SrZnP2O7,3.75,0.2414,4.4518,44,4,0
Ba3MgSb2O9,6.12,0.6309,2.6494,30,4,0
Ba3Nb2(P2O9)2,3.94,0.2022,3.1357,27,4,0
SrV2O6,4,0.3036,2.8228,36,3,0
Zn3Mo2O9,4.23,0.1914,3.16,28,3,0
LiMg4V3O12,3.21,0.2931,3.1867,80,4,0
Ca3Al2O6,2.94,1.6334,4.2749,264,3,0
LiVZnO4,3.25,0.4279,3.3551,126,4,0
NiWO4,7.57,0.372,2.8765,12,3,0
BaZnSiO4,4.49,0.7159,3.5871,42,4,0
HfSiO4,6.82,0.3035,5.3034,24,3,0
ZnGeO3,5.97,0.4059,2.1049,30,3,0
CaAl4O7,2.81,0.2215,3.9982,48,3,0
NaCa2Mg2V3O12,3.31,0.3337,3.3303,160,5,0
Ca2SiO4,3.07,0.6014,4.1639,28,3,0
LiNiPO4,3.75,0.4505,3.9594,28,4,0
BaZnP2O7,4.1,0.2822,4.3393,22,4,0
LiZnPO4,3.17,1.5498,4.1945,224,4,0
DyPO4,5.82,0.2721,5.887,24,3,0
Sr2ZnGe2O7,4.49,0.3095,3.1171,24,4,0
Ca3WO6,4.97,0.4111,3.5537,20,3,0
BaDy2ZnO5,7.87,0.6711,3.0569,36,4,0
LiMgVO4,3.09,0.3051,3.4858,28,4,0
Ba2MgSi2O7,4.1,0.2376,4.4569,24,4,0
BaV2ZnO7,4.27,0.259,2.9388,44,4,0
BaCo2Si2O7,4.25,0.4533,2.7397,96,4,0
SrV2ZnO7,3.92,0.2383,2.779,44,4,0
MnWO4,6.87,0.3144,2.3193,12,3,0
Mg2B2O5,2.82,0.3842,5.0786,18,3,0
Li2MoO4,2.89,0.18,4.1287,126,3,0
Ca2Al2SiO7,2.98,0.2746,4.2849,24,4,0
Nd2Sn2O7,6.89,0.3381,2.6688,88,3,0
BaTeO3,5.26,0.7487,3.1676,60,3,0
NbAlO4,4.16,1.0621,2.8606,24,3,0
Sr2CoSi2O7,3.89,0.2619,3.1023,24,4,0
Nd2SiO5,5.82,0.3357,4.7791,32,3,0
MgTi2O5,3.55,0.3528,2.7179,32,3,1
BaY2(MoO4)4,4.75,0.2278,3.3275,92,4,1
Ba2ZnSi2O7,4.55,0.2587,4.004,48,4,1
LaVO4,4.89,0.3367,3.5173,24,3,1
MgMoO4,3.64,0.3685,3.7851,48,3,1
CaTeO3,4.25,1.0672,2.9164,100,3,1
ErNbO4,7.2,0.3609,3.5276,24,3,1
LiAl5O8,3.52,0.4396,5.251,56,3,1
ZnMoO4,4.1,0.4817,3.5378,36,3,1
Mn2SiO4,3.96,0.3424,2.3411,28,3,1
Mn4Nb2O9,4.97,0.5232,1.8338,30,3,1
Zn2P2O7,4.11,0.2927,3.6522,22,3,1
Li3NbO4,3.81,0.8512,3.7756,64,3,1
SrF2,4.13,0.3964,6.7528,12,2,1
CdMoO4,5.74,0.2792,2.4709,24,3,1
Ca2P2O7,3,0.4911,5.4171,44,3,1
BaF2,4.69,0.3225,6.6232,12,2,1
MnMoO4,3.94,0.3423,2.7361,48,3,1
BaTe4O9,5.28,0.5457,3.1844,112,3,1
Ca3ZrSi2O9,3.38,0.341,4.4546,60,4,1
Sr2MgSi2O7,3.56,0.2626,4.4959,24,4,1
Mg2SnO4,4.7,0.3058,1.9035,56,3,1
Ba3V4O13,3.84,0.1994,2.9456,80,3,1
BaWO4,6.02,0.226,4.8845,24,3,1
YAlO3,4.5,0.4462,3.5078,10,3,1
Mg2V2O7,3.14,0.2735,2.7136,22,3,1
NdPO4,5.26,0.3309,5.6771,24,3,1
Yb3Ga5O12,7.39,0.3654,0,160,3,1
SmPO4,5.55,0.3407,5.7436,24,3,1
MgTe2O5,4.93,0.1982,2.3736,32,3,1
SrMoO4,4.47,0.2607,3.8074,24,3,1
MgAl2O4,3.46,0.44,5.1111,56,3,1
Li2WO4,5.63,0.3107,3.8815,28,3,1
CaMoO4,4.07,0.2943,3.5047,24,3,1
Na2Mo2O7,3.5,0.2408,3.2142,88,3,1
CaMgSiO4,2.96,0.3301,4.6294,28,4,1
Sm2Mo4O15,4.53,0.4573,2.5309,63,3,1
Sm2SiO5,6.25,0.3866,4.8498,32,3,1
SrY2Si3O10,3.97,0.2813,4.9341,32,4,1
Mg3V2O8,3.35,0.2936,3.3085,52,3,1
LaPO4,4.93,0.3044,4.5207,24,3,1
LaNbO4,5.73,0.467,3.5826,24,3,1
MgGeO3,4.25,0.6185,2.5261,40,3,1
Li2TiGeO5,3.53,0.2675,3.4689,18,4,1
BaY2Si3O10,4.13,0.2355,4.8154,32,4,1
Zn2Te3O8,5.27,0.1829,3.3008,52,3,1
YPO4,4.13,0.2703,5.8026,24,3,1
CePO4,5.06,0.3238,0.1892,24,3,1
BiSbO4,7.98,0.2435,2.4146,24,3,1
YbPO4,5.9,0.2652,0,24,3,1
CaCuP2O7,3.42,0.2301,0.6038,44,4,1
SrLa2Al2O7,5.97,0.8247,2.9157,24,4,1
LiF,2.53,0.8812,8.7164,8,2,1
LiCaBO3,2.76,0.4706,5.0401,48,4,1
LaBO3,5.2,0.3327,4.5012,20,3,1
LiMgPO4,2.89,0.3997,5.4297,28,4,1
SiO2,2.49,0.1496,5.7211,9,2,1
CaWO4,5.84,0.2931,4.3435,24,3,1
Ca2GeO4,3.45,0.297,3.6002,28,3,1
SrWO4,6.04,0.2387,4.6567,24,3,1
CaAl2O4,2.84,0.6825,4.3446,84,3,1
CaF2,3.09,0.4767,7.1148,12,2,1
Sr2SmSbO6,6.07,0.4443,3.6073,20,4,1
Li2MnO3,3.72,1.881,2.2961,24,3,1
SrCuP2O7,3.8,0.2462,0.7906,44,4,1
Zn2GeO4,4.56,0.1849,1.9737,126,3,1
Ca3Al2(GeO4)3,4.22,0.3787,3.5137,160,4,1
Sr2ZnSi2O7,3.95,0.2619,3.901,24,4,1
MgO,3.47,0.778,4.4449,8,2,1
Sr2CeO4,5.38,0.3588,2.2283,14,3,1
Ca2SnO4,4.62,0.5083,2.7156,14,3,1
MgSiO3,3.97,0.7384,5.415,40,3,1
